Acceleration;Car;Cylinders;Displacement;Horsepower;MPG;Model;Origin;RHS;Weight
1.8;?;2.0;12.0;11.0;2.5;1.0;0.91;Cylinders;?
1.5;15.0;2.0;48.0;21.0;7.0;3.0;0.92;Cylinders;8.0
?;?;2.0;?;5.0;3.0;0.0;?;Cylinders;157.0
?;?;2.0;6.0;48.0;2.3;?;?;Cylinders;365.0
?;?;2.0;137.0;10.0;0.5;3.0;?;Cylinders;20.0
3.1;21.0;2.0;49.0;10.0;0.1;8.0;0.0;Cylinders;?
?;20.0;2.0;22.0;25.0;?;1.0;0.0;Cylinders;22.0
?;?;2.0;?;0.0;?;2.0;?;Cylinders;64.0
2.0;?;2.0;33.0;21.0;1.0;1.0;0.0;Cylinders;?
5.4;?;2.0;40.0;2.0;2.3;0.0;0.0;Cylinders;?
1.3;6.0;2.0;22.0;13.0;?;2.0;0.0;Cylinders;370.0
5.5;?;2.0;15.0;?;0.0;0.0;0.0;Cylinders;71.0
?;8.0;2.0;?;2.0;?;?;?;Cylinders;752.0
?;7.0;2.0;31.0;?;?;?;0.0;Cylinders;?
0.0;13.0;2.0;110.0;14.0;?;1.0;0.0;Cylinders;?
2.7;13.0;2.0;35.0;?;2.5;?;?;Cylinders;330.0
?;17.0;2.0;31.0;0.0;1.0;0.0;0.0;Cylinders;182.0
1.5;13.0;2.0;77.0;3.0;1.0;?;0.92;Cylinders;?
1.2;?;2.0;?;3.0;0.5;1.0;?;Cylinders;275.0
0.0;?;2.0;?;0.0;9.0;1.0;?;Cylinders;?
1.1;?;2.0;124.0;4.0;0.5;3.0;?;Cylinders;?
0.2;13.0;2.0;86.0;?;0.2;?;0.0;Cylinders;?
0.0;10.0;2.0;84.0;5.0;2.0;5.0;0.92;Cylinders;46.0
3.4;?;2.0;31.0;5.0;?;2.0;0.0;Cylinders;204.0
0.1;18.0;2.0;65.0;1.0;?;?;0.0;Cylinders;475.0
1.0;9.0;2.0;50.0;?;1.0;2.0;0.92;Cylinders;116.0
0.0;10.0;2.0;112.0;3.0;?;1.0;0.91;Cylinders;300.0
5.7;20.0;2.0;192.0;55.0;3.5;3.0;?;Cylinders;1.0
4.2;?;2.0;36.0;20.0;0.0;1.0;0.0;Cylinders;70.0
?;10.0;2.0;112.0;2.0;0.4;2.0;?;Cylinders;60.0
0.1;14.0;2.0;58.0;?;5.0;?;0.0;Cylinders;?
?;?;2.0;139.0;6.0;?;0.0;?;Cylinders;205.0
?;?;2.0;38.0;?;?;?;0.0;Cylinders;?
?;16.0;2.0;6.0;?;?;?;0.91;Cylinders;365.0
6.5;?;2.0;105.0;12.0;?;0.0;?;Cylinders;37.0
?;10.0;2.0;?;1.0;0.6;?;?;Cylinders;628.0
?;14.0;2.0;49.0;?;?;?;0.0;Cylinders;75.0
0.1;11.0;2.0;?;2.0;2.0;0.0;0.0;Cylinders;?
?;?;2.0;30.0;20.0;0.6;?;0.0;Cylinders;11.0
?;8.0;2.0;6.0;5.0;?;1.0;?;Cylinders;243.0
0.0;7.0;2.0;74.0;19.0;?;?;0.92;Cylinders;684.0
?;?;2.0;101.0;7.0;0.0;?;0.91;Cylinders;823.0
2.1;?;2.0;41.0;?;1.4;2.0;0.0;Cylinders;?
?;13.0;2.0;93.0;40.0;?;?;0.0;Cylinders;45.0
1.7;?;2.0;58.0;?;0.6;?;0.0;Cylinders;1.0
0.0;?;2.0;34.0;12.0;6.5;?;?;Cylinders;630.0
?;?;2.0;10.0;?;?;1.0;0.91;Cylinders;130.0
?;?;2.0;25.0;?;?;8.0;0.83;Cylinders;62.0
?;13.0;2.0;78.0;2.0;0.8;?;0.0;Cylinders;?
3.6;?;2.0;99.0;2.0;?;?;0.0;Cylinders;18.0
3.9;6.0;2.0;15.0;26.0;10.7;?;0.0;Cylinders;?
0.0;12.0;2.0;129.0;7.0;0.0;1.0;?;Cylinders;?
?;?;2.0;71.0;34.0;0.4;0.0;0.0;Cylinders;190.0
?;22.0;2.0;29.0;?;?;3.0;0.91;Cylinders;35.0
?;10.0;2.0;?;10.0;?;2.0;?;Cylinders;26.0
2.0;14.0;2.0;54.0;8.0;?;?;0.83;Cylinders;?
1.0;?;2.0;85.0;0.0;1.0;3.0;0.91;Cylinders;532.0
0.5;?;2.0;110.0;12.0;?;0.0;?;Cylinders;?
?;?;2.0;74.0;1.0;?;0.0;0.0;Cylinders;?
2.7;?;2.0;78.0;0.0;1.2;?;0.0;Cylinders;655.0
?;14.0;2.0;58.0;3.0;?;?;0.0;Cylinders;?
3.3;6.0;2.0;?;?;0.1;3.0;0.0;Cylinders;?
?;18.0;2.0;5.0;?;0.3;4.0;0.91;Cylinders;190.0
?;14.0;2.0;10.0;?;1.2;1.0;0.91;Cylinders;?
0.0;21.0;2.0;?;0.0;?;1.0;0.91;Cylinders;?
0.5;14.0;2.0;85.0;8.0;3.0;0.0;0.0;Cylinders;661.0
3.6;6.0;2.0;31.0;?;?;5.0;0.0;Cylinders;114.0
0.1;19.0;2.0;110.0;10.0;1.0;0.0;?;Cylinders;?
?;?;2.0;80.0;2.0;0.8;6.0;?;Cylinders;14.0
0.5;13.0;2.0;42.0;31.0;0.0;0.0;0.83;Cylinders;?
?;12.0;2.0;60.0;?;2.0;?;0.0;Cylinders;5.0
2.4;14.0;2.0;4.0;23.0;?;?;0.0;Cylinders;?
0.6;10.0;2.0;92.0;28.0;?;?;0.0;Cylinders;69.0
0.0;?;2.0;23.0;?;9.3;1.0;0.92;Cylinders;655.0
2.2;25.0;2.0;35.0;35.0;0.2;1.0;0.0;Cylinders;395.0
0.2;9.0;2.0;103.0;25.0;0.4;5.0;0.0;Cylinders;1310.0
?;13.0;2.0;5.0;?;?;5.0;0.91;Cylinders;295.0
1.0;10.0;2.0;85.0;?;?;?;?;Cylinders;66.0
?;?;2.0;92.0;0.0;1.0;3.0;0.0;Cylinders;?
0.3;10.0;2.0;128.0;2.0;?;?;0.91;Cylinders;?
3.6;?;2.0;47.0;5.0;4.3;?;0.0;Cylinders;?
?;12.0;2.0;104.0;0.0;0.9;?;?;Cylinders;?
0.3;?;2.0;29.0;?;0.7;0.0;0.0;Cylinders;15.0
1.7;?;2.0;24.0;24.0;?;?;0.91;Cylinders;?
?;8.0;2.0;80.0;12.0;3.0;?;?;Cylinders;98.0
1.1;13.0;2.0;47.0;11.0;?;0.0;?;Cylinders;?
0.5;?;2.0;5.0;20.0;5.5;1.0;0.91;Cylinders;?
0.3;9.0;2.0;102.0;2.0;?;3.0;?;Cylinders;205.0
3.5;?;2.0;60.0;5.0;?;2.0;0.0;Cylinders;179.0
?;10.0;2.0;70.0;?;0.1;7.0;0.0;Cylinders;?
1.3;9.0;2.0;60.0;?;?;9.0;0.0;Cylinders;303.0
0.5;13.0;2.0;110.0;2.0;?;3.0;?;Cylinders;106.0
0.1;9.0;2.0;10.0;?;5.9;3.0;0.91;Cylinders;15.0
2.0;12.0;2.0;95.0;2.0;0.0;0.0;0.92;Cylinders;?
3.9;?;2.0;44.0;19.0;0.0;0.0;0.0;Cylinders;?
0.5;6.0;2.0;128.0;13.0;?;4.0;0.0;Cylinders;?
?;4.0;2.0;?;?;2.5;0.0;0.0;Cylinders;?
?;12.0;2.0;55.0;20.0;?;?;0.0;Cylinders;320.0
?;17.0;2.0;?;40.0;0.0;?;0.0;Cylinders;31.0
?;?;2.0;5.0;13.0;?;?;?;Cylinders;?
0.2;13.0;2.0;86.0;35.0;0.2;6.0;0.0;Cylinders;1041.0
0.5;13.0;2.0;48.0;?;3.0;3.0;0.92;Cylinders;42.0
?;?;2.0;25.0;3.0;2.7;1.0;0.92;Cylinders;535.0
1.4;17.0;2.0;52.0;0.0;0.5;?;0.92;Cylinders;?
?;?;2.0;5.0;7.0;7.7;?;?;Cylinders;521.0
?;12.0;2.0;77.0;17.0;4.0;0.0;0.92;Cylinders;36.0
?;?;2.0;65.0;1.0;?;5.0;0.91;Cylinders;72.0
2.0;10.0;2.0;118.0;9.0;0.0;2.0;0.92;Cylinders;332.0
0.2;13.0;2.0;139.0;4.0;0.6;1.0;?;Cylinders;?
?;11.0;2.0;?;2.0;?;0.0;0.0;Cylinders;?
1.4;8.0;2.0;93.0;?;2.4;0.0;0.0;Cylinders;470.0
0.0;?;2.0;10.0;?;?;?;?;Cylinders;?
0.6;?;2.0;10.0;?;?;?;?;Cylinders;?
2.6;?;2.0;10.0;0.0;?;0.0;0.0;Cylinders;?
?;6.0;2.0;60.0;?;0.5;6.0;0.0;Cylinders;?
2.7;17.0;2.0;12.0;0.0;1.5;?;0.0;Cylinders;424.0
0.1;?;2.0;25.0;11.0;?;?;0.0;Cylinders;?
?;15.0;2.0;79.0;?;?;?;0.0;Cylinders;3.0
1.6;?;2.0;6.0;?;?;?;0.91;Cylinders;210.0
?;11.0;2.0;11.0;19.0;3.2;?;0.83;Cylinders;?
?;?;2.0;42.0;35.0;0.1;?;0.0;Cylinders;224.0
2.5;?;2.0;4.0;17.0;7.0;?;0.0;Cylinders;?
?;14.0;2.0;80.0;0.0;?;?;0.92;Cylinders;210.0
?;6.0;2.0;22.0;?;?;?;0.0;Cylinders;228.0
?;8.0;2.0;60.0;2.0;2.0;?;0.0;Cylinders;?
2.5;?;2.0;2.0;0.0;3.9;?;0.0;Cylinders;?
0.0;11.0;2.0;?;?;2.0;0.0;?;Cylinders;345.0
0.9;6.0;2.0;34.0;20.0;?;?;0.0;Cylinders;198.0
0.8;?;2.0;95.0;3.0;2.0;?;0.92;Cylinders;29.0
1.9;?;2.0;103.0;0.0;0.2;?;0.91;Cylinders;?
0.4;13.0;2.0;70.0;29.0;1.4;?;0.0;Cylinders;?
1.5;?;2.0;?;15.0;1.7;?;?;Cylinders;10.0
0.1;?;2.0;91.0;18.0;4.0;1.0;0.0;Cylinders;?
0.4;11.0;2.0;111.0;10.0;?;?;?;Cylinders;11.0
0.7;?;2.0;33.0;43.0;0.3;3.0;0.0;Cylinders;135.0
3.2;8.0;2.0;104.0;?;0.4;?;0.92;Cylinders;752.0
?;15.0;2.0;104.0;7.0;0.0;1.0;0.92;Cylinders;188.0
0.5;?;2.0;124.0;6.0;?;0.0;0.91;Cylinders;566.0
3.0;?;2.0;37.0;5.0;?;?;0.0;Cylinders;100.0
0.1;17.0;2.0;30.0;20.0;?;?;0.0;Cylinders;267.0
?;17.0;2.0;49.0;?;?;0.0;0.0;Cylinders;300.0
?;17.0;2.0;4.0;?;2.5;?;0.0;Cylinders;28.0
2.5;?;2.0;5.0;34.0;?;4.0;?;Cylinders;67.0
0.0;?;2.0;34.0;?;?;?;0.91;Cylinders;630.0
?;14.0;2.0;17.0;5.0;?;?;0.0;Cylinders;75.0
1.3;13.0;2.0;92.0;12.0;?;4.0;0.0;Cylinders;24.0
?;?;2.0;41.0;?;2.0;0.0;0.0;Cylinders;?
?;?;2.0;6.0;?;0.0;?;?;Cylinders;407.0
0.3;?;2.0;25.0;?;?;?;0.0;Cylinders;200.0
?;15.0;2.0;43.0;?;?;?;0.0;Cylinders;29.0
0.9;17.0;2.0;52.0;?;?;6.0;0.92;Cylinders;54.0
?;?;2.0;33.0;?;0.5;?;0.0;Cylinders;140.0
?;?;2.0;52.0;0.0;?;4.0;0.92;Cylinders;29.0
?;?;2.0;25.0;18.0;?;?;0.0;Cylinders;325.0
1.1;12.0;2.0;?;3.0;?;?;0.91;Cylinders;130.0
?;18.0;2.0;?;0.0;?;0.0;?;Cylinders;142.0
?;?;2.0;5.0;?;?;?;?;Cylinders;370.0
1.5;?;2.0;?;5.0;3.0;0.0;?;Cylinders;157.0
1.3;14.0;2.0;58.0;7.0;?;?;0.0;Cylinders;14.0
?;14.0;2.0;81.0;0.0;?;6.0;0.0;Cylinders;135.0
?;8.0;2.0;80.0;?;0.0;?;?;Cylinders;523.0
0.2;?;2.0;78.0;?;?;?;?;Cylinders;21.0
?;?;2.0;5.0;?;0.1;?;0.91;Cylinders;73.0
0.0;23.0;2.0;10.0;5.0;4.0;?;0.91;Cylinders;230.0
?;?;2.0;?;?;0.8;?;?;Cylinders;14.0
0.0;?;2.0;49.0;4.0;0.2;2.0;0.0;Cylinders;?
?;12.0;2.0;71.0;?;4.0;1.0;0.0;Cylinders;37.0
?;12.0;2.0;80.0;3.0;2.2;?;0.92;Cylinders;113.0
0.2;13.0;2.0;86.0;?;0.2;6.0;0.0;Cylinders;?
?;?;2.0;?;8.0;4.0;?;0.0;Cylinders;49.0
2.6;9.0;2.0;117.0;5.0;0.5;1.0;?;Cylinders;?
3.6;?;2.0;87.0;2.0;?;?;0.0;Cylinders;8.0
0.0;12.0;2.0;?;?;?;3.0;?;Cylinders;35.0
2.0;?;2.0;12.0;10.0;?;?;0.0;Cylinders;108.0
?;?;2.0;38.0;4.0;1.7;1.0;0.83;Cylinders;870.0
?;?;2.0;12.0;?;1.5;?;0.0;Cylinders;?
?;4.0;2.0;60.0;3.0;4.9;0.0;0.0;Cylinders;245.0
1.0;5.0;2.0;?;?;4.0;0.0;0.0;Cylinders;?
2.6;?;2.0;5.0;1.0;5.7;?;?;Cylinders;618.0
?;?;2.0;78.0;1.0;0.8;6.0;0.0;Cylinders;?
0.6;?;2.0;22.0;20.0;?;2.0;0.0;Cylinders;169.0
?;?;2.0;80.0;2.0;1.2;?;0.92;Cylinders;11.0
2.9;?;2.0;71.0;?;?;?;0.0;Cylinders;4.0
?;7.0;2.0;12.0;5.0;2.0;0.0;0.0;Cylinders;238.0
3.3;?;2.0;52.0;51.0;0.1;?;0.0;Cylinders;66.0
?;21.0;2.0;25.0;18.0;0.8;1.0;0.0;Cylinders;?
0.0;?;2.0;25.0;?;?;?;?;Cylinders;118.0
?;?;2.0;51.0;9.0;?;?;?;Cylinders;286.0
?;?;2.0;97.0;10.0;?;0.0;?;Cylinders;865.0
1.0;?;2.0;111.0;3.0;0.4;4.0;0.92;Cylinders;40.0
3.9;13.0;2.0;10.0;?;3.5;0.0;0.92;Cylinders;670.0
2.5;10.0;2.0;26.0;?;?;?;?;Cylinders;142.0
0.6;?;2.0;49.0;?;6.2;?;0.0;Cylinders;120.0
?;?;2.0;?;?;1.0;?;0.0;Cylinders;40.0
2.3;2.0;2.0;81.0;90.0;?;3.0;0.0;Cylinders;230.0
0.5;18.0;2.0;?;0.0;1.0;?;0.91;Cylinders;?
0.3;?;2.0;95.0;7.0;1.0;?;0.92;Cylinders;114.0
?;15.0;2.0;71.0;?;?;1.0;0.0;Cylinders;40.0
?;12.0;2.0;49.0;1.0;?;?;0.0;Cylinders;48.0
3.0;?;2.0;52.0;40.0;?;0.0;0.0;Cylinders;805.0
1.5;?;2.0;102.0;12.0;0.6;2.0;?;Cylinders;60.0
?;9.0;2.0;105.0;2.0;?;?;0.92;Cylinders;111.0
?;22.0;2.0;80.0;?;2.0;2.0;0.91;Cylinders;81.0
7.1;12.0;2.0;73.0;10.0;1.5;?;0.0;Cylinders;?
1.0;?;2.0;55.0;20.0;?;2.0;0.0;Cylinders;320.0
3.7;?;2.0;52.0;35.0;?;0.0;0.0;Cylinders;?
?;?;2.0;24.0;11.0;1.0;?;?;Cylinders;595.0
?;13.0;2.0;84.0;4.0;3.0;0.0;?;Cylinders;322.0
?;?;2.0;6.0;5.0;?;5.0;?;Cylinders;50.0
?;?;2.0;24.0;?;1.3;4.0;0.91;Cylinders;630.0
2.7;?;2.0;28.0;20.0;0.3;1.0;0.0;Cylinders;?
?;?;2.0;77.0;3.0;1.0;2.0;0.92;Cylinders;41.0
1.7;?;2.0;35.0;?;?;0.0;0.0;Cylinders;65.0
0.0;9.0;2.0;50.0;?;?;0.0;?;Cylinders;?
?;?;2.0;46.0;?;?;?;0.0;Cylinders;?
3.5;?;2.0;5.0;30.0;2.8;?;0.91;Cylinders;20.0
0.5;?;2.0;35.0;10.0;2.0;1.0;0.91;Cylinders;34.0
?;14.0;2.0;47.0;11.0;?;8.0;0.0;Cylinders;269.0
?;1.0;2.0;38.0;?;0.0;?;0.0;Cylinders;?
2.3;13.0;2.0;33.0;18.0;1.5;5.0;0.0;Cylinders;?
1.2;?;2.0;16.0;108.0;4.6;?;?;Cylinders;25.0
0.0;10.0;2.0;49.0;?;4.0;3.0;?;Cylinders;515.0
0.7;14.0;2.0;44.0;?;2.2;?;0.0;Cylinders;158.0
3.4;13.0;2.0;49.0;88.0;2.8;1.0;0.0;Cylinders;25.0
?;?;2.0;29.0;19.0;5.2;3.0;0.91;Cylinders;35.0
?;10.0;2.0;6.0;?;1.0;?;0.91;Cylinders;176.0
0.0;?;2.0;10.0;?;?;?;0.91;Cylinders;230.0
0.5;16.0;2.0;5.0;?;5.5;1.0;?;Cylinders;190.0
0.7;14.0;2.0;49.0;4.0;6.4;0.0;0.0;Cylinders;425.0
?;?;2.0;88.0;0.0;?;?;0.0;Cylinders;12.0
0.0;?;2.0;112.0;3.0;?;1.0;?;Cylinders;300.0
1.6;?;2.0;25.0;?;?;0.0;?;Cylinders;130.0
?;13.0;2.0;48.0;17.0;3.0;?;0.92;Cylinders;42.0
1.5;8.0;2.0;?;?;0.0;2.0;0.0;Cylinders;?
3.0;17.0;2.0;64.0;15.0;0.0;?;0.0;Cylinders;?
0.6;15.0;2.0;2.0;1.0;10.0;?;0.0;Cylinders;?
?;14.0;2.0;56.0;?;?;3.0;0.0;Cylinders;1170.0
0.5;12.0;2.0;102.0;?;?;0.0;?;Cylinders;518.0
6.1;?;2.0;52.0;58.0;0.0;2.0;0.0;Cylinders;863.0
?;18.0;2.0;6.0;?;0.2;?;?;Cylinders;65.0
1.3;?;2.0;81.0;10.0;9.0;9.0;0.0;Cylinders;5.0
3.1;10.0;2.0;46.0;30.0;2.1;?;0.0;Cylinders;23.0
0.4;11.0;2.0;?;?;?;?;?;Cylinders;11.0
?;?;2.0;?;?;0.5;?;?;Cylinders;13.0
0.0;18.0;2.0;12.0;15.0;?;2.0;0.92;Cylinders;?
?;?;2.0;25.0;10.0;?;0.0;0.83;Cylinders;?
1.0;?;2.0;?;2.0;0.0;1.0;0.92;Cylinders;29.0
0.7;10.0;2.0;111.0;15.0;3.6;5.0;0.92;Cylinders;6.0
0.3;?;2.0;?;?;?;1.0;?;Cylinders;114.0
3.1;19.0;2.0;17.0;23.0;3.0;?;0.0;Cylinders;?
?;?;2.0;22.0;?;1.1;?;0.0;Cylinders;292.0
?;5.0;2.0;49.0;5.0;6.5;4.0;0.0;Cylinders;205.0
?;17.0;2.0;6.0;5.0;?;5.0;0.91;Cylinders;50.0
0.9;?;2.0;7.0;?;7.0;0.0;0.92;Cylinders;665.0
?;15.0;2.0;2.0;?;10.0;?;0.0;Cylinders;150.0
0.0;?;2.0;74.0;9.0;9.0;4.0;?;Cylinders;?
?;15.0;2.0;15.0;17.0;?;?;0.0;Cylinders;64.0
?;21.0;2.0;17.0;?;1.1;?;0.0;Cylinders;100.0
?;?;2.0;15.0;35.0;5.5;?;0.0;Cylinders;93.0
1.6;13.0;2.0;55.0;?;1.0;?;0.0;Cylinders;?
0.1;?;2.0;60.0;5.0;2.8;6.0;0.0;Cylinders;421.0
?;11.0;2.0;52.0;?;0.1;?;0.0;Cylinders;369.0
?;?;2.0;64.0;1.0;4.0;?;?;Cylinders;400.0
2.1;?;2.0;52.0;30.0;0.0;3.0;0.0;Cylinders;?
?;?;2.0;16.0;20.0;?;?;?;Cylinders;210.0
?;20.0;2.0;81.0;15.0;?;?;0.0;Cylinders;59.0
0.2;?;2.0;49.0;5.0;6.5;4.0;0.0;Cylinders;420.0
?;13.0;2.0;75.0;0.0;?;1.0;0.0;Cylinders;?
0.3;?;2.0;12.0;?;0.2;?;0.0;Cylinders;228.0
?;?;2.0;22.0;?;0.2;?;0.0;Cylinders;35.0
0.2;10.0;2.0;60.0;0.0;?;?;0.0;Cylinders;?
?;?;2.0;74.0;20.0;0.0;?;0.0;Cylinders;?
?;?;2.0;44.0;?;6.9;0.0;?;Cylinders;735.0
0.4;14.0;2.0;1.0;?;?;?;0.0;Cylinders;328.0
?;?;2.0;69.0;0.0;5.2;?;0.0;Cylinders;376.0
?;8.0;2.0;?;3.0;?;0.0;0.0;Cylinders;?
0.3;10.0;2.0;128.0;?;0.9;?;?;Cylinders;?
1.1;?;2.0;47.0;11.0;?;0.0;?;Cylinders;?
?;?;2.0;60.0;0.0;?;?;0.0;Cylinders;30.0
?;16.0;2.0;6.0;?;?;?;0.91;Cylinders;40.0
1.0;?;2.0;10.0;10.0;1.0;?;0.0;Cylinders;?
?;?;2.0;68.0;7.0;0.0;?;0.92;Cylinders;48.0
6.5;18.0;2.0;52.0;?;?;6.0;0.0;Cylinders;?
?;22.0;2.0;2.0;0.0;?;3.0;0.0;Cylinders;428.0
?;14.0;2.0;?;0.0;1.2;2.0;0.0;Cylinders;?
0.2;?;2.0;74.0;20.0;?;0.0;0.0;Cylinders;20.0
?;?;2.0;5.0;18.0;?;?;?;Cylinders;260.0
?;?;2.0;33.0;?;?;?;0.0;Cylinders;5.0
?;14.0;2.0;10.0;?;?;1.0;?;Cylinders;70.0
4.8;14.0;2.0;80.0;0.0;1.2;?;0.92;Cylinders;210.0
3.1;23.0;2.0;22.0;25.0;?;0.0;0.0;Cylinders;30.0
0.3;?;2.0;44.0;?;2.2;4.0;0.0;Cylinders;130.0
5.7;?;2.0;1.0;20.0;?;1.0;?;Cylinders;495.0
0.5;12.0;2.0;110.0;12.0;1.0;0.0;0.92;Cylinders;94.0
1.5;?;2.0;9.0;15.0;?;?;0.0;Cylinders;?
?;?;2.0;5.0;18.0;?;?;0.91;Cylinders;260.0
0.1;15.0;2.0;58.0;3.0;4.0;8.0;0.0;Cylinders;?
0.3;?;2.0;111.0;?;?;0.0;0.0;Cylinders;65.0
3.0;11.0;2.0;12.0;?;?;0.0;0.91;Cylinders;?
?;11.0;2.0;79.0;25.0;0.5;?;?;Cylinders;13.0
4.4;7.0;2.0;33.0;?;?;7.0;0.0;Cylinders;183.0
2.5;?;2.0;51.0;?;?;0.0;?;Cylinders;27.0
1.2;?;2.0;30.0;?;1.2;?;0.0;Cylinders;90.0
0.9;8.0;2.0;25.0;?;?;4.0;0.83;Cylinders;?
?;?;2.0;70.0;7.0;?;2.0;?;Cylinders;5.0
1.5;?;2.0;5.0;12.0;?;1.0;?;Cylinders;290.0
1.8;13.0;2.0;48.0;0.0;?;9.0;0.0;Cylinders;92.0
0.6;10.0;2.0;92.0;28.0;?;5.0;0.0;Cylinders;69.0
?;12.0;2.0;37.0;1.0;?;0.0;?;Cylinders;?
?;4.0;2.0;42.0;?;2.0;?;0.0;Cylinders;272.0
1.4;?;2.0;52.0;0.0;?;?;0.92;Cylinders;65.0
?;13.0;2.0;6.0;?;4.4;?;0.91;Cylinders;?
?;3.0;2.0;110.0;?;9.0;?;0.0;Cylinders;349.0
5.0;?;2.0;35.0;10.0;?;?;0.0;Cylinders;10.0
4.0;6.0;2.0;128.0;?;1.0;?;0.0;Cylinders;829.0
?;13.0;2.0;33.0;27.0;?;1.0;0.0;Cylinders;21.0
0.1;?;2.0;42.0;10.0;?;3.0;0.0;Cylinders;469.0
?;13.0;2.0;6.0;11.0;?;?;?;Cylinders;25.0
?;?;2.0;17.0;26.0;?;1.0;?;Cylinders;50.0
0.9;?;2.0;48.0;13.0;?;?;0.0;Cylinders;?
1.0;?;2.0;78.0;20.0;3.0;?;?;Cylinders;12.0
?;17.0;2.0;30.0;?;?;?;0.0;Cylinders;267.0
0.0;?;2.0;71.0;36.0;?;1.0;0.0;Cylinders;280.0
0.0;?;2.0;49.0;19.0;4.0;?;?;Cylinders;?
0.3;14.0;2.0;95.0;2.0;2.0;0.0;0.92;Cylinders;83.0
0.0;?;2.0;125.0;?;?;?;0.0;Cylinders;60.0
0.0;11.0;2.0;65.0;?;?;?;0.0;Cylinders;62.0
?;8.0;2.0;111.0;?;2.5;?;0.92;Cylinders;34.0
0.6;?;2.0;81.0;16.0;0.0;?;?;Cylinders;467.0
8.3;?;2.0;61.0;27.0;0.8;?;0.0;Cylinders;10.0
?;13.0;2.0;?;3.0;?;4.0;?;Cylinders;33.0
0.0;14.0;2.0;76.0;?;?;1.0;0.0;Cylinders;509.0
1.2;?;2.0;26.0;23.0;0.2;7.0;0.0;Cylinders;?
?;16.0;2.0;6.0;?;?;0.0;0.91;Cylinders;60.0
0.0;17.0;2.0;59.0;7.0;10.0;?;0.0;Cylinders;?
0.0;10.0;2.0;78.0;?;?;3.0;?;Cylinders;94.0
3.7;17.0;2.0;80.0;2.0;0.8;?;0.92;Cylinders;14.0
0.0;?;2.0;49.0;5.0;?;?;0.0;Cylinders;83.0
?;9.0;2.0;102.0;2.0;2.0;?;?;Cylinders;205.0
3.1;19.0;2.0;17.0;?;?;?;0.0;Cylinders;25.0
0.9;14.0;2.0;92.0;?;?;0.0;0.0;Cylinders;375.0
0.3;?;2.0;92.0;2.0;0.2;3.0;0.0;Cylinders;195.0
?;18.0;2.0;1.0;?;?;?;0.0;Cylinders;148.0
3.2;10.0;2.0;?;1.0;0.6;?;?;Cylinders;628.0
0.3;?;2.0;49.0;1.0;5.8;?;0.0;Cylinders;435.0
?;?;2.0;35.0;0.0;1.6;1.0;0.0;Cylinders;?
0.0;3.0;2.0;110.0;25.0;10.0;0.0;0.0;Cylinders;?
?;11.0;2.0;25.0;?;3.0;?;?;Cylinders;53.0
?;7.0;2.0;12.0;5.0;?;0.0;0.0;Cylinders;?
0.6;13.0;2.0;49.0;5.0;?;?;0.0;Cylinders;?
?;22.0;2.0;64.0;0.0;?;?;0.91;Cylinders;?
3.7;?;2.0;30.0;20.0;0.6;3.0;0.0;Cylinders;11.0
?;?;2.0;52.0;35.0;?;?;0.0;Cylinders;?
?;?;2.0;58.0;3.0;2.0;?;0.0;Cylinders;32.0
?;17.0;2.0;52.0;?;1.5;?;?;Cylinders;54.0
1.5;?;2.0;17.0;?;?;2.0;0.0;Cylinders;80.0
4.9;?;2.0;27.0;15.0;?;5.0;?;Cylinders;95.0
?;?;2.0;29.0;14.0;8.5;1.0;0.91;Cylinders;60.0
1.5;?;2.0;83.0;0.0;3.0;1.0;0.92;Cylinders;408.0
?;?;2.0;130.0;1.0;?;1.0;0.92;Cylinders;323.0
?;?;2.0;77.0;3.0;0.0;5.0;0.92;Cylinders;112.0
?;13.0;2.0;83.0;0.0;?;?;?;Cylinders;408.0
?;15.0;2.0;68.0;?;?;?;0.0;Cylinders;90.0
0.2;8.0;2.0;111.0;10.0;?;6.0;?;Cylinders;34.0
0.0;?;2.0;85.0;0.0;2.0;?;?;Cylinders;555.0
?;13.0;2.0;33.0;?;?;3.0;0.0;Cylinders;30.0
?;21.0;2.0;74.0;20.0;0.0;?;0.0;Cylinders;67.0
3.0;?;2.0;33.0;24.0;?;1.0;0.0;Cylinders;?
?;?;2.0;4.0;17.0;?;?;0.0;Cylinders;263.0
7.5;9.0;2.0;52.0;?;2.0;0.0;0.0;Cylinders;11.0
1.2;?;2.0;30.0;25.0;?;4.0;0.0;Cylinders;90.0
0.0;14.0;2.0;22.0;?;?;4.0;0.0;Cylinders;219.0
7.6;?;2.0;52.0;51.0;0.4;3.0;0.0;Cylinders;151.0
2.4;21.0;2.0;91.0;5.0;0.6;0.0;0.91;Cylinders;?
0.3;?;2.0;99.0;10.0;12.0;?;0.0;Cylinders;386.0
1.0;13.0;2.0;35.0;?;?;1.0;0.83;Cylinders;?
1.2;14.0;2.0;34.0;3.0;0.5;4.0;0.92;Cylinders;128.0
?;?;2.0;10.0;32.0;1.0;?;0.0;Cylinders;486.0
1.2;?;2.0;2.0;15.0;0.5;?;0.0;Cylinders;?
0.1;?;2.0;30.0;20.0;3.0;?;0.0;Cylinders;267.0
3.6;9.0;2.0;10.0;8.0;?;?;0.92;Cylinders;?
?;20.0;2.0;?;10.0;0.5;?;?;Cylinders;20.0
